word,sentence
固執,他是個固執的人，不願接受別人的意見。
肆無忌憚,小孩子在港鐵車廂內肆無忌憚地亂跑，騷擾了其他乘客。
粗暴,他總是用粗暴的態度對待別人，沒有人願意和他做朋友。
恩將仇報,我處處為他設想，他卻恩將仇報，反過來陷害我。
安慰,當他遇到挫折時，好朋友總會在身邊安慰他，鼓勵他別灰心。
規勸,老師正在規勸犯錯的學生，希望他們能改過。
侍奉,年邁的祖母需要傭人侍奉起居生活。
欽佩,他學識淵博，令我非常欽佩。
家屬,公司為員工及其家屬提供福利。
考核,考核不僅是評估，更是促進個人成長的機遇。
拋棄,他拋棄了妻兒，獨自到外國生活。
重逢,多年後他們重逢，忍不住相擁而泣。
嚴肅,這件事應嚴肅處理，不容有任何閃失。
廉潔,他為官廉潔，盡心為人民服務，深受民眾的愛戴和尊敬。
冊封,他帶領軍隊擊敗外敵，所以被皇帝冊封為親王。
宣誓,新任的總統下星期宣誓就職。
莫須有,明明沒有證據，他卻被控偷竊，這分明是莫須有的罪名。
內閣,政府的內閣由不同領域的部長組成。
隱退,當他看見官場黑暗，便決定隱退，不再過問世事。
版權,這首歌曲的版權是屬於他的，不能盜用。
承諾,對於難以做到的事，不要輕易許下承諾。
蔓延,恐慌的情緒在人群中迅速蔓延，所有人都顯得不安。
復甦,疫情過後，經濟復甦需時，市民要過一段艱難的日子。
雀躍,收到期待已久的成績，他的心雀躍不已。
不知所措,面對突如其來的指責，他呆在原地一時不知所措。
驚訝,朋友突然到訪，令她十分驚訝。
羞澀,她突然被稱讚，羞澀得低下頭來。
遺憾,為了不讓生活留下遺憾，他決定放下一切，去追逐自己的夢想。
心曠神怡,呼吸雨後的清新空氣，令人感到心曠神怡。
狼狽,她獨個兒抱着兩個小孩出門，手忙腳亂，非常狼狽。
惆悵,想到即將要與朋友分別，他心中充滿了惆悵。
頹喪,公司破產後，他數月閉門不出，不修邊幅，顯得十分頹喪。
忐忑,他突然被上司召見，心裏忐忑不安。
慷慨,他為人慷慨仗義，人們都很敬重他。
謹慎,我們在社交媒體發言要謹慎，避免洩露私隱或引發誤會。
懦弱,他個性懦弱，即使受到不合理的對待也只會啞忍。
魯莽,他做事總是太魯莽，不經思考，常常闖禍。
全力以赴,疫情期間，醫護人員全力以赴堅守崗位，盡心盡力地照顧病人。
安逸,他過着無憂無慮的安逸生活。
奢侈,他每天追求錦衣美食，過着奢侈的生活。
平庸,他雖然能力平庸，但工作勤奮，是個不錯的員工。
不偏不倚,作為裁判，他必須做到不偏不倚，確保比賽公平。
霸道,他從小被寵壞了，性格非常霸道，很難與人相處。
隔膜,他們父子多年不通消息，彼此之間產生了一層隔膜。
漠視,我們不應該漠視弱勢群體的需要。
咒罵,他當初不該一時衝動咒罵上司，如今丟了工作才明白禍從口出的道理。
摯友,即使分隔兩地，他仍是我的摯友。
後裔,他姓諸葛，自稱是諸葛量的後裔。
循循善誘,在老師的循循善誘下，她終於能自發地學習了。
和睦,同學們一向和睦相處，從來不爭吵。
崇敬,消防員冒着危險拯救他人，這種無私精神，確令人崇敬。
辜負,父母含辛茹苦地養育我，我絕不能辜負他們的期望。
杯葛,同事們不滿他經常奉承上司，所以杯葛他。
撫恤,在意外發生後，公司承諾會對受影響的員工及其家屬提供全面的撫恤方案。
欺凌,他小時候因身材瘦弱常遭同學欺凌，那段經歷令他長大後格外關注弱勢群體的處境。
籌集,他們準備籌集一筆經費資助山區兒童。
蕭條,這個小鎮的年輕人都往大城市發展，鎮內只剩老弱婦孺，顯得格外蕭條。
休憩,這個公園內設有長座椅供遊人休憩。
逮捕,那個通緝犯已經被警方逮捕了。
氾濫,因河水氾濫，交通中斷，多條公路需要封閉。
凋零,冬日裏，草木凋零的公園雖然少了生氣，卻多了一份寧靜之美。
利弊,實施每項新計劃前，必先衡量當中的利弊。
賄賂,這位官員抵擋不住金錢的誘惑，收受了巨款賄賂，一步步走向腐敗的深淵。
